falsorum	falsus
deorum	deus
unio	unus
divinitatis	diuinitas
expellat	expello
filium	filius
individuum	indiuiduus
inseparatum	inseparatus
patre	pater
patre	pater
reputandum	reputo
nominatum	nomino
atquin	atqui
nominasset	nomino
separasset	separo2
filius	filius
filium	filius
excepisset	excipio
puta	puto
solem	sol
sol	sol
radius	radius
denotasses	denoto
vanitatem	uanitas
radius	radius
sole	sol
deputetur	deputo
semetipsum	sui
{semetipsum}	ipse
deum	deus
idololatriam	idololatria
nationum	natio1
israelis	israel
haereticos	haereticus
nationes	natio1
manibus	manus1
verbis	uerbum
idola	idolum
fabricantur	fabricor
deum	deus
christum	christus
unum	unus
pronuntiabat	pronuntio
filio	filius
pater	pater
procurabat	procuro
deo	deus
christus	christus
venisse	uenio
credatur	credo
praedixerat	praedico2
deus	deus
absque	absque2
unicum	unicus
filio	filius
ostendit	ostendo
caelum	caelum1
solus	solus
extendit	extendo
argumentum	argumentum
singularitatis	singularitas
arripient	arripio
extendi	extendo
caelum	caelum1
solus	solus
virtutes	uirtus
solus	solus
praestruens	praestruo
coniecturas	coniectura
haereticorum	haereticus
mundum	mundus1
angelis	angelus
potestatibus	potestas
diversis	diuersus
volunt	uolo3
structum	struo
creatorem	creator
angelum	angelus
extrinsecus	extrinsecus
opera	opus1
mundi	mundus1
ignorantem	ignoro
subornatum	suborno
solus	solus
caelum	caelum1
extendit	extendo
praesumunt	praesumo
perversum	peruersus
haeretici	haereticus
singularis	singularis
admittatur	admitto
sophia	sophis
pararet	paro2
caelum	caelum1
aderam	assum1
apostolus	apostolus
cognovit	cognosco
sensum	sensus
domini	dominus
consilio	consilium
sophiam	sophia
aderat	assum1
universa	uniuersus
compingebat	compingo1
ignorante	ignoro
sophiam	sophia
filium	filius
christus	christus
sophia	sophis
virtus	uirtus
dei	deus
apostolum	apostolus
solus	solus
sciens	scio
sensum	sensus
patris	pater
scit	scio
deo	deus
spiritus	spiritus
deum	deus
evangelium	euangelium
recusetur	recuso
sermonem	sermo
deo	deus
fallor	fallo
alibi	alibi
scriptum	scribo
sermone	sermo
caeli	caelum1
firmati	firmo
spiritu	spiritus
virtutes	uirtus
sermo	sermo
virtus	uirtus
sophia	sophis
dei	deus
filius	filius
filium	filius
caelum	caelum1
filium	filius
extendens	extendo
solus	solus
extendit	extendo
ratione	ratio
solus	solus
filio	filius
loquitur	loquor
deiecit	deicio
signa	signum
ventriloquorum	uentriloquus
divinationes	diuinatio
corde	cor
avertens	auerto
sapientes	sapiens1
retrorsum	retrorsum
consilium	consilium
infatuans	infatuo
sistens	sisto
verba	uerbum
filii	filius
filius	filius
dilectus	dilectus1
audite	audio
filium	filius
subiungens	subiungo
interpretator	interpretator
caelum	caelum1
solus	solus
extenderit	extendo
filio	filius
solus	solus
filio	filius
unum	unus
filii	filius
vox	uox
extendi	extendo
caelum	caelum1
solus	solus
sermone	sermo
caeli	caelum1
confirmati	confirmo
sophia	sophis
sermone	sermo
adsistente	assisto
paratum	paro2
caelum	caelum1
sermonem	sermo
competit	competo
filium	filius
extendisse	extendo
caelum	caelum1
solus	solus
operationi	operatio
patris	pater
ministravit	ministro
primus	primus
superventura	superuenio
sermo	sermo
principio	principium
sermo	sermo
principio	principium
prolatus	profero
patre	pater
pater	pater
initium	initium
prolatus	profero
innatus	innascor
solus	solus
ordinem	ordo
propterea	propterea
patrem	pater
filium	filius
credendum	credo
putaverunt	puto
unum	unus
deum	deus
vindicent	uindico
salva	saluus
unio	unus
unus	unus
filium	filius
aeque	aeque
scripturis	scriptura
comprehensum	comprehendo
filium	filius
nolunt	nolo
patre	pater
reputari	reputo
secundus	secundus2
duos	duo
deos	deus
ostendimus	ostendo
duos	duo
deos	deus
scriptura	scriptura
relatos	refero
duos	duo
dominos	dominus
scandalizentur	scandalizo
rationem	ratio
reddimus	reddo
dei	deus
duo	duo
domini	dominus
pater	pater
filius	filius
duo	duo
separatione	separatio
substantiae	substantia
dispositione	dispositio
individuum	indiuiduus
inseparatum	inseparatus
filium	filius
patre	pater
pronuntiamus	pronuntio
statu	status1
gradu	gradus
deus	deus
nominatur	nomino
singularis	singularis
duos	duo
deos	deus
unum	unus
deus	deus
unitate	unitas
patris	pater
vocari	uoco
argumentationibus	argumentatio
retundendis	retundo
opera	opus1
praebenda	praebeo
scripturis	scriptura
sententiam	sententia
excerpent	excerpo
nolentes	nolo
intueri	intueor
regulam	regula
servant	seruo
salva	saluus
unione	unio1
divinitatis	diuinitas
monarchiae	monarchium
sonitu	sonitus
veteribus	uetus
tenent	teneo
deus	deus
evangelio	euangelium
responsionem	responsio
domini	dominus
philippum	philippus
tuentur	tueor
pater	pater
unum	unus
patrem	pater
patre	pater
pater	pater
tribus	tres
capitulis	capitulum
totum	totus
instrumentum	instrumentum
utriusque	uterque
testamenti	testamentum
volunt	uolo3
cedere	cedo1
oporteat	oportet
intellegi	intelligo
pauciora	paucus
proprium	proprius
haereticorum	haereticus
pauca	paucus
silva	silua
inveniri	inuenio
pauca	paucus
defendunt	defendo
posteriora	posterus
priora	prior
suscipiunt	suscipio
regula	regula
initio	initium
constituta	constituo
prioribus	prior
posteriora	posterus
praescribit	praescribo
pauciora	paucus
aspice	aspicio
praescribant	praescribo
evangelio	euangelium
philippi	philippus
consultationem	consultatio
argumentationem	argumentatio
primis	primus
praefatio	praefatio
ioannis	ioannes
evangelizatoris	euangelizator
demonstrat	demonstro
retro	retro1
caro	caro1
principio	principium
sermo	sermo
sermo	sermo
deum	deus
deus	deus
sermo	sermo
principio	principium
deum	deus
accipi	accipio
scripta	scribo
indubitanter	indubitanter
ostenditur	ostendo
principio	principium
sermonem	sermo
dei	deus
deum	deus
deus	deus
sermo	sermo
dei	deus
filius	filius
pater	pater
edidimus	edo1
necesse	necesse
separatum	separo2
dispositione	dispositio
n	numus
divisione	diuisio
caro	caro1
sermo	sermo
gloria	gloria
tanquam	tamquam1
unici	unicus
patre	pater
tanquam	tamquam1
patris	pater
unius	unus
sinum	sinus
patris	pater
disseruit	dissero2
sinum	sinus
pater	pater
praecedit	praecedo1
deum	deus
unquam	umquam
agnus	agnus
dei	deus
ioanne	Ioannes
designatur	designo
dilectus	dilectus1
filius	filius
dei	deus
filius	filius
nathanaã	Nathanus
«	«
l	libra
sensit	sentio
alibi	alibi
petrus	Petrus
filius	filius
dei	deus
recte	recte
sensisse	sentio
confirmat	confirmo
nathanaã	Nathana
«	«
li	li
respondens	respondeo
ficu	ficus1
credis	credo
petrum	petrus
beatum	beatus
adfirmans	affirmo
caro	caro1
sanguis	sanguis
revelasset	reuelo
patrem	pater
senserat	sentio
pater	pater
caelis	caelum1
utriusque	uterque
personae	persona
constituit	constituo
distinctionem	distinctio
filii	filius
terris	terra
petrus	Petrus
agnoverat	agnosco
dei	deus
filium	filius
patris	pater
caelis	caelum1
petro	Petrus
revelaverat	reuelo
petrus	Petrus
agnoverat	agnosco
dei	deus
filium	filius
christum	christus
templum	templum
introiit	introeo1
aedem	aedes
patris	pater
appellat	appello1
filius	filius
nicodemum	nicodemus
dilexit	diligo3
deus	deus
mundum	mundus1
filium	filius
unicum	unicus
crediderit	credo
pereat	pereo1
vitam	uita
sempiternam	sempiternus
misit	mitto
deus	deus
filium	filius
mundum	mundus1
iudicet	iudico
mundum	mundus1
salvus	saluus
mundus	mundus1
crediderit	credo
iudicatur	iudico
crediderit	credo
iudicatus	iudico
credidit	credo
nomine	nomen
unici	unicus
filii	filius
dei	deus
ioannes	Ioannes
interrogaretur	interrogo
iesu	Iesus
contingeret	contingo1
pater	pater
dilexit	diligo3
filium	filius
tradidit	trado
manu	manus1
credidit	credo
filium	filius
vitam	uita
aeternam	aeternus
credidit	credo
filio	filius
dei	deus
deum	deus
ira	ira
