salariis	salarium
remunerantur	remuneror
bestias	bestia
pronuntiantur	pronuntio
merito	merito2
philosophi	philosophus1
christiani	christianus1
cognominantur	cognomino
nomen	nomen
philosophorum	philosophus1
daemonia	daemonium
fugat	fugo
deos	deus
philosophi	philosophus1
daemonas	daemon
deputent	deputo
socratis	socratus
vox	uox
daemonium	daemonium
permittat	permitto
veritate	ueritas
sapiebat	sapio
deos	deus
negans	nego
aesculapio	aesculapium
gallinaceum	gallinaceus
prosecari	proseco
fine	finis
iubebat	iubeo
credo	credo
honorem	honor
patris	pater
socratem	socrates
apollo	apollo
sapientissimum	sapiens2
cecinit	cano
o	o
apollinem	apollo
inconsideratum	inconsideratus
sapientiae	sapientia
testimonium	testimonium
reddidit	reddo
viro	uir
negabat	nego
deos	deus
odium	odium
flagrat	flagro
veritas	ueritas
fide	fides2
praestat	praesto1
offendit	offendo
adulterat	adultero
adfectat	affecto
maxime	magis2
nomine	nomen
gratiam	gratia
pangit	pango
insectatores	insectator
veritatis	ueritas
inlusores	illusor
corruptores	corruptor
inimice	inimicus1
philosophi	philosophus1
adfectant	affecto
veritatem	ueritas
adfectando	affecto
corrumpunt	corrumpo
gloriam	gloria
captant	capto
christiani	christianus1
necessario	necessario
appetunt	appeto
integre	integre
praestant	praesto1
saluti	salus
curant	curo
scientia	scientia
disciplina	disciplina
putatis	puto
aequamur	aequo
thales	thales
princeps	princeps1
physicorum	physicus
sciscitanti	sciscitor
croeso	croesus
divinitate	diuinitas
certum	certus
renuntiavit	renuntio
commeatus	commeatus
deliberandi	delibero
frustratus	frustror
deum	deus
opifex	opifex
christianus	christianus1
invenit	inuenio
ostendit	ostendo
exinde	exinde
totum	totus
deum	deus
quaeritur	quaero
adsignat	assigno
plato	plato
adfirmet	affirmo
factitatorem	factitator
universitatis	uniuersitas
inveniri	inuenio
facilem	facilis
inventum	inuenio
enarrari	enarro
difficilem	difficilis
pudicitia	pudicitia
provocemus	prouoco
lego	lego2
partem	pars
sententiae	sententia
atticae	attica
socratem	socrates
corruptorem	corruptor
adolescentium	adolescens1
pronuntiatum	pronuntio
sexum	sexus
femineum	femineus
mutat	muto2
christianus	christianus1
novi	nouus
phrynen	phryne
meretricem	meretrix
diogenis	diogenus
recumbentis	recumbo
ardori	ardor
subantem	subo
audio	audio
speusippum	speusippus
platonis	platon
schola	schola
adulterio	adulterium
perisse	pereo1
christianus	christianus1
uxori	uxor
soli	solus
masculus	masculus
nascitur	nascor
democritus	democritus
excaecando	excaeco
semetipsum	sui
{semetipsum}	ipse
mulieres	mulier
concupiscentia	concupiscentia
aspicere	aspicio
doleret	doleo
potitus	potior
incontinentiam	incontinentia
emendatione	emendatio
profitetur	profiteor
christianus	christianus1
salvis	saluus
oculis	oculus
feminas	femina
animo	animus
libidinem	libido
caecus	caecus
probitate	probitas
defendam	defendo
lutulentis	lutulentus
